@relation emotion

@attribute AU1 numeric
@attribute AU2 numeric
@attribute AU4 numeric
@attribute AU6 numeric
@attribute AU7 numeric
@attribute AU9 numeric
@attribute AU12 numeric
@attribute AU15 numeric
@attribute AU16 numeric
@attribute AU20 numeric
@attribute AU23 numeric
@attribute AU26 numeric
@attribute Left numeric
@attribute Lower numeric
@attribute Right numeric
@attribute Upper numeric
@attribute class{Positive,Negative,Neutral}

@data
0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.33,0.0,0.0,0.0,0.1,0.59,0.61,0.21,Negative
0.08,0.0,0.08,2.65,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.29,4.03,2.6,Negative
0.0,0.0,0.0,1.68,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.91,1.91,Positive
0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.29,0.0,0.38,1.01,1.69,1.07,Positive
0.0,0.0,4.44,0.18,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,6.33,0.0,0.47,6.8,Negative
0.48,0.0,0.0,0.0,0.35,1.22,1.1,0.0,0.0,0.0,0.0,0.0,1.81,1.31,0.76,1.26,Positive
0.22,0.0,0.52,0.87,1.05,0.0,2.56,0.0,2.2,0.0,0.0,0.0,0.0,2.56,4.7,2.14,Negative
0.0,0.0,0.0,0.0,0.0,1.15,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.15,1.15,0.7,Positive
0.0,0.0,0.0,0.0,0.12,0.27,0.63,0.0,0.35,0.0,0.0,0.0,0.0,0.9,1.12,0.22,Positive
0.0,0.0,0.0,0.26,0.0,0.0,1.55,0.0,1.55,0.0,0.0,0.0,0.56,1.55,0.0,0.56,Positive
0.48,0.0,0.12,0.48,0.37,0.71,0.85,0.0,0.63,0.0,0.0,0.0,0.97,0.85,2.35,3.06,Negative
0.0,0.0,0.0,0.0,0.0,0.0,2.38,0.0,0.0,0.0,2.38,0.0,0.0,2.38,2.38,0.0,Negative
0.0,0.0,0.0,0.0,0.47,1.25,0.5,0.0,0.0,0.0,0.0,0.0,0.32,0.5,2.19,2.52,Negative
