@relation emotion

@attribute AU1 numeric
@attribute AU2 numeric
@attribute AU4 numeric
@attribute AU6 numeric
@attribute AU7 numeric
@attribute AU9 numeric
@attribute AU12 numeric
@attribute AU15 numeric
@attribute AU16 numeric
@attribute AU20 numeric
@attribute AU23 numeric
@attribute AU26 numeric
@attribute Left numeric
@attribute Lower numeric
@attribute Right numeric
@attribute Upper numeric
@attribute class{Positive,Negative,Neutral}

@data
0.0,0.0,0.0,0.0,0.0,0.0,0.49,2.22,0.76,2.32,0.34,2.42,2.16,2.92,0.0,0.0,Negative
0.0,0.0,0.0,0.0,0.0,0.18,1.25,0.25,0.25,0.0,1.5,0.25,1.5,1.68,0.18,0.0,Positive
0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.09,0.09,0.09,0.09,0.09,0.0,1.01,1.01,0.0,Positive
0.0,0.0,0.0,0.0,0.0,1.89,0.8,0.0,0.0,0.0,0.8,0.0,0.33,2.36,2.36,0.33,Negative
0.0,0.0,0.07,0.73,0.07,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.07,0.26,2.02,1.82,Negative
0.0,0.0,0.0,0.0,0.66,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.14,1.22,1.52,Negative
0.0,0.0,0.0,0.62,0.0,0.6,0.0,0.4,0.4,0.88,0.88,0.48,0.45,1.84,2.16,1.07,Negative
0.0,0.0,0.0,0.47,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.2,1.32,1.65,Negative
0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43,2.43,Negative
0.0,0.0,0.0,0.38,0.0,0.3,1.45,0.0,0.0,0.0,1.45,0.0,0.68,1.75,1.45,0.38,Positive
0.0,0.0,0.0,0.0,0.28,0.13,0.0,0.0,0.95,0.0,0.0,0.0,0.28,1.08,1.08,0.28,Positive
0.0,0.0,0.0,0.4,0.0,1.02,0.53,0.0,0.53,0.0,0.0,0.0,0.0,1.55,1.95,0.4,Negative
0.0,0.0,0.0,0.0,0.0,1.5,2.27,0.0,0.0,0.0,0.0,0.0,0.0,2.41,2.41,0.0,Negative
0.0,0.0,0.0,0.43,0.0,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,2.29,Negative
0.5,0.0,0.5,0.68,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.6,2.0,Negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57,3.32,3.47,0.9,3.47,0.0,3.47,3.47,0.0,Negative
0.0,0.0,0.0,0.35,0.23,0.27,2.4,0.0,1.13,0.25,0.25,0.0,3.33,2.91,0.62,1.03,Negative
0.0,0.0,0.0,0.32,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22,0.0,0.22,2.44,Negative
2.84,0.15,0.0,0.0,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99,0.0,0.0,2.99,Negative
0.53,0.0,0.11,0.12,0.0,1.36,0.19,0.0,0.0,0.0,0.0,0.0,2.77,1.55,0.2,1.5,Neutral
0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.42,0.42,0.42,0.0,0.75,0.0,1.12,1.55,0.43,Negative
0.0,0.0,0.0,0.37,0.0,0.37,1.62,0.0,1.62,0.0,0.0,0.0,0.18,2.13,2.32,0.37,Positive
1.19,0.0,0.99,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,1.39,2.05,Negative
0.0,0.0,0.19,0.73,0.0,0.45,0.6,0.0,0.0,0.0,0.0,0.0,0.82,0.68,1.15,1.29,Negative
0.0,0.0,0.0,0.0,0.0,0.0,0.38,1.48,0.0,1.48,1.48,1.48,0.38,1.87,1.48,0.0,Positive
0.0,0.0,0.0,0.32,0.0,0.42,0.0,0.0,1.32,0.88,1.32,0.0,0.12,1.73,2.35,0.62,Negative
0.0,0.0,0.0,0.0,0.0,0.33,3.17,0.0,0.0,0.0,0.0,0.0,0.33,3.17,0.0,0.0,Negative
