@relation emotion

@attribute AU1 numeric
@attribute AU2 numeric
@attribute AU4 numeric
@attribute AU6 numeric
@attribute AU7 numeric
@attribute AU9 numeric
@attribute AU12 numeric
@attribute AU15 numeric
@attribute AU16 numeric
@attribute AU20 numeric
@attribute AU23 numeric
@attribute AU26 numeric
@attribute Left numeric
@attribute Lower numeric
@attribute Right numeric
@attribute Upper numeric
@attribute class{Positive,Negative,Neutral}

@data
0.47,0.0,0.07,0.0,0.28,2.25,2.05,0.0,0.22,0.0,0.22,0.0,0.8,2.51,1.33,1.7,Negative
0.0,0.0,0.0,0.36,0.0,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.35,0.86,1.36,Positive
0.0,0.0,0.0,0.0,0.0,0.14,2.79,0.07,1.2,0.15,2.95,0.15,1.47,3.49,1.94,0.0,Negative
0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.63,0.63,0.64,0.14,0.64,0.16,1.22,1.06,0.0,Negative
0.0,0.0,0.0,0.58,0.0,0.51,1.65,0.0,1.12,0.12,1.6,0.5,2.66,2.41,0.58,0.83,Neutral
0.0,0.0,0.0,0.0,0.0,0.0,1.42,0.0,0.48,1.03,1.73,0.48,0.24,1.9,1.73,0.07,Neutral
0.25,0.0,0.0,0.08,0.0,1.32,1.12,0.53,0.53,0.53,0.53,0.53,0.08,1.65,2.1,0.53,Neutral
0.44,0.0,0.27,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.19,1.13,1.24,Neutral
0.0,0.0,0.14,0.46,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.81,0.77,0.36,Positive
0.0,0.0,0.0,0.0,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,2.02,2.02,0.0,0.0,Negative
0.0,0.0,0.0,0.0,0.0,0.0,2.31,0.0,0.0,0.0,0.0,0.0,0.17,2.31,2.15,0.0,Negative
0.0,0.0,0.0,1.64,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2,Negative
0.0,0.0,0.0,0.0,0.0,0.08,0.26,0.0,0.58,0.58,0.29,0.0,0.0,0.92,0.92,0.0,Negative
0.44,0.0,0.17,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.07,0.65,0.93,Negative
0.0,0.0,0.0,0.17,0.0,0.33,1.0,0.0,1.0,1.14,1.14,1.14,0.45,2.42,2.14,0.17,Negative
0.43,0.0,0.43,0.0,0.43,0.27,0.81,0.0,0.0,0.0,0.81,0.09,0.18,0.81,1.66,1.03,Negative
0.0,0.0,0.0,0.0,0.2,0.1,1.27,0.0,1.27,0.0,0.0,0.0,0.31,1.37,2.0,0.94,Neutral
0.0,0.0,0.0,0.52,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.92,1.54,0.52,Negative
0.0,0.0,0.0,2.02,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,3.13,2.35,Negative
0.0,0.0,0.0,0.17,0.0,0.47,1.37,0.0,0.0,0.0,0.0,0.0,0.7,1.47,3.71,2.95,Negative
0.0,0.0,0.23,0.78,0.41,0.0,2.08,0.0,0.0,0.0,1.72,0.0,1.19,2.08,0.37,1.19,Negative
1.51,0.0,1.54,0.14,1.54,4.41,0.91,0.0,0.0,0.0,0.0,0.0,0.52,3.43,6.27,3.67,Negative
0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.23,0.89,1.58,0.92,Positive
0.0,0.0,0.0,0.57,0.0,1.3,1.2,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.77,0.0,Negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,0.0,2.18,0.0,0.0,0.0,2.34,2.34,0.0,Neutral
0.22,0.0,0.22,0.3,0.0,0.3,0.73,1.25,1.98,1.25,1.25,1.25,2.81,2.3,0.18,0.4,Negative
0.0,0.0,0.0,1.57,0.0,1.47,0.55,0.0,0.55,0.0,0.0,0.0,1.02,1.1,2.13,2.05,Negative
0.9,0.0,0.86,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,1.24,2.02,Negative
0.0,0.0,0.0,0.67,0.0,0.28,0.37,0.38,1.47,0.38,0.2,0.18,0.42,1.75,2.22,0.88,Negative
0.37,0.0,0.2,0.15,0.63,0.15,1.18,0.0,0.0,0.0,0.0,0.0,0.63,1.18,1.7,1.14,Negative
0.0,0.0,0.0,0.0,0.0,2.27,0.72,0.0,0.14,0.33,0.66,0.33,1.67,1.87,1.32,1.8,Negative
0.22,0.0,0.22,0.0,0.0,0.13,0.41,0.15,0.23,0.0,0.37,0.0,0.86,0.64,0.0,0.22,Negative
0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.47,2.02,2.48,Positive
1.73,0.0,1.73,1.58,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,2.55,3.31,Negative
0.0,0.0,0.0,0.12,0.0,2.31,0.0,0.0,0.0,0.0,0.0,0.0,1.93,0.0,0.82,2.75,Negative
0.17,0.0,0.0,0.0,0.15,0.41,0.46,0.0,0.0,0.0,0.0,0.0,0.89,0.87,0.92,0.95,Negative
0.0,0.0,0.0,0.15,0.0,0.22,0.87,0.0,0.0,0.0,0.22,0.0,0.58,0.87,1.35,1.07,Negative
0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.28,Neutral
0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.48,1.92,1.92,1.45,1.92,2.22,1.92,0.12,0.42,Negative
0.0,0.0,0.75,0.15,0.0,0.63,0.18,0.12,0.23,0.12,0.12,0.12,0.9,0.87,0.87,0.9,Negative
0.0,0.0,0.0,0.0,0.0,0.81,0.81,0.0,0.0,0.0,0.0,0.0,0.35,0.81,0.81,0.0,Negative
