AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper,class
0.0,0.0,0.12,1.48,0.12,1.42,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,0.18,2.38,Negative
0.0,0.0,0.26,0.0,0.26,0.37,1.71,0.0,0.0,0.0,1.71,0.0,0.59,2.08,2.08,0.51,Negative
0.0,0.0,0.23,0.17,0.23,3.1,0.0,0.0,0.0,0.0,0.0,0.0,2.35,1.15,1.67,2.86,Negative
0.0,0.0,0.26,0.22,0.26,0.78,1.08,0.27,0.27,1.32,1.27,1.32,0.47,2.4,3.2,1.39,Negative
0.0,0.0,0.0,1.45,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.78,1.45,Negative
0.0,0.0,0.0,0.0,0.22,0.6,0.55,0.0,0.0,0.0,0.29,0.0,0.0,0.55,1.57,1.02,Negative
0.0,0.0,0.0,0.0,0.0,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,1.53,0.0,Positive
0.0,0.0,0.0,0.0,0.0,0.47,1.49,0.24,0.24,0.24,1.29,0.24,0.0,2.0,2.0,0.0,Positive
0.0,0.0,0.0,0.07,1.33,0.66,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.45,0.45,2.06,Neutral
0.0,0.0,0.72,0.56,0.0,0.01,0.11,0.0,0.0,0.0,0.0,0.0,0.76,0.18,1.08,1.67,Neutral
0.0,0.0,0.0,0.52,0.0,1.92,0.92,0.0,0.0,0.0,0.0,0.0,1.34,0.98,0.58,0.94,Negative
0.0,0.0,0.0,0.0,0.4,0.0,0.46,0.32,0.59,0.91,0.46,0.59,1.08,1.05,1.12,1.16,Negative
0.13,0.0,0.0,0.73,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.62,0.0,0.67,3.02,Negative
0.0,0.0,0.0,0.27,0.0,0.37,1.75,0.0,0.0,0.0,1.02,0.0,0.64,2.34,0.95,0.27,Negative
0.0,0.0,0.0,0.0,0.52,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.12,1.17,1.73,Negative
0.0,0.0,0.0,0.57,0.0,0.0,0.82,0.0,0.0,0.0,0.27,0.09,0.09,0.92,1.53,1.04,Negative
0.0,0.0,0.0,0.32,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,0.0,0.0,2.17,Negative
0.0,0.0,0.0,0.0,0.0,0.67,0.65,0.0,0.0,0.0,0.7,0.7,0.96,1.35,0.94,0.98,Negative
0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.33,0.0,0.33,0.78,0.42,0.0,0.37,Positive
0.0,0.0,0.0,0.0,0.0,0.2,1.12,0.91,0.91,0.91,0.42,0.91,0.2,2.24,2.03,0.0,Positive
0.0,0.0,0.0,0.95,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,1.45,Neutral
0.0,0.0,0.0,0.0,0.0,0.26,1.24,0.0,0.0,0.0,0.26,0.0,0.26,1.4,1.14,0.0,Neutral
0.0,0.0,0.0,0.56,0.0,4.54,0.0,0.0,0.0,0.0,0.0,0.0,0.62,2.11,2.68,3.3,Negative
