AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper,class
0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.35,0.11,0.35,0.0,0.0,0.77,0.66,0.0,Positive
0.0,0.0,0.0,0.4,0.0,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,2.04,0.48,Positive
0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.77,0.6,0.0,0.0,0.0,1.12,1.12,0.0,Positive
0.0,0.0,0.0,0.0,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,1.66,2.29,Positive
0.0,0.0,0.0,0.0,0.0,0.0,2.01,0.0,1.1,0.0,0.07,0.0,0.11,2.19,2.08,0.0,Positive
0.0,0.0,0.0,0.22,0.0,0.13,0.62,0.0,0.33,0.0,0.0,0.0,0.87,0.76,1.13,1.24,Positive
0.0,0.0,0.0,0.46,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.78,0.78,0.63,Positive
0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,1.58,0.35,0.17,1.4,Positive
0.0,0.0,0.0,0.63,0.0,0.0,0.7,0.0,0.7,0.0,0.0,0.0,0.77,0.7,1.33,1.4,Neutral
0.0,0.0,0.0,0.0,0.09,0.55,0.8,0.0,1.43,0.38,0.63,0.0,0.23,1.98,1.45,0.09,Neutral
0.0,0.0,0.28,0.0,0.68,0.0,0.35,0.0,0.73,0.38,0.38,0.0,0.23,0.73,1.8,1.3,Neutral
0.0,0.0,0.23,0.83,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.9,1.51,1.06,Neutral
0.0,0.0,0.0,0.85,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,2.13,0.85,Neutral
0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.19,1.99,Neutral
0.0,0.0,0.0,0.46,0.95,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.52,1.93,1.73,Neutral
0.0,0.0,0.0,0.0,0.05,0.0,1.03,0.0,1.03,0.0,0.0,0.0,0.0,1.2,2.02,0.82,Neutral
0.0,0.0,0.0,0.0,0.22,0.07,1.13,0.0,1.13,0.0,0.0,0.0,0.22,1.2,1.72,0.74,Neutral
0.0,0.0,0.0,0.58,0.0,0.38,1.13,0.0,0.0,0.0,0.0,0.0,0.5,1.52,1.78,0.77,Neutral
0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.19,1.13,0.94,0.0,Neutral
