AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper,class
0.0,0.0,0.0,0.0,0.0,3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.67,2.56,2.56,Positive
0.0,0.0,0.0,0.47,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,3.01,3.06,Positive
0.0,0.0,0.0,0.12,0.0,0.77,1.4,0.08,0.88,0.08,1.18,0.34,0.86,2.03,1.68,0.56,Positive
0.0,0.0,0.0,3.31,0.0,3.31,0.0,0.0,0.0,0.0,0.0,0.0,3.94,0.65,0.0,3.31,Positive
0.0,0.0,0.0,0.0,0.0,1.28,0.87,0.0,0.0,0.0,0.0,0.0,0.09,1.35,1.16,0.0,Positive
1.06,0.0,0.32,0.07,0.0,0.28,1.26,0.0,0.0,0.0,0.0,0.0,1.72,1.54,1.06,1.4,Positive
0.0,0.0,0.0,0.0,0.0,0.24,3.14,0.0,0.0,0.0,0.0,0.0,3.38,3.14,0.0,0.24,Positive
0.22,0.0,0.22,0.28,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,0.0,0.22,2.88,Positive
0.0,0.0,0.0,0.0,0.0,0.67,0.89,0.0,0.0,0.0,0.17,0.0,0.0,0.89,1.56,0.67,Negative
0.0,0.0,0.0,0.0,0.0,0.0,1.66,0.0,0.0,0.0,1.66,0.28,0.0,1.93,1.93,0.0,Negative
0.17,0.0,0.17,0.0,0.47,0.0,0.7,0.0,0.0,0.0,0.7,0.0,0.57,0.7,1.15,1.02,Negative
0.0,0.0,0.0,1.45,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.78,1.45,Negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,1.78,Negative
0.0,0.0,0.0,1.61,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,1.26,1.61,Negative
